short_name;long_name
A3;MARPOSS
A5;ANT
AC;AIXCONTR
AD;ANEDO
AE;AGIL
AF;ARI
AO;ARCU
AS;AVISARO
AX;AKE-ELEK
B1;BYONOY
B2;BRAUNS
B3;BRITZE
B4;BARKS
BD;BDR
BG;BUEHLER
BO;BOOTZ
BY;SIMBERRY
C1;COMMEO
CC;CTC
CE;CEDK
CG;CERTGATE
CI;CETONI
CL;CAPICAL
CM;CHARGEIT
CO;OLYMPUS
CR;COOPER
CS;CORSCIEN
CU;CUBOS
CY;CYRO
D1;DATAKAMP
D2;DTE-SYS
D3;DREAM
DE;DEISTER
DK;DRAGO
E1;EVAC
ED;EKF
EH;EHB
EL;ELOBAU
EN;ENERCON
ER;ELREST
ET;ECTRONS
EV;ENNO
EX;ESW
EZ;ELKA
F1;FMC
FA;FS-GROUP
FE;FEIG
FI;AUDIOTEC
FS;STEPHAN
G1;GRP
GF;GBN
GI;GIRA
GK;GK-SES
H2;HELECTA
HC;HILTI
HE;HAGER
HN;HENNING
HO;HYDRO
HP;HYTECON
HV;HOVAL
HY;SEBA
I1;IEQ
I2;IEP
ID;IDMICRO
IG;IAV
IH;IHLEMANN
II;INTEL
IL;ILOTEC
IM;IME
IP;IMPAC
IS;IMSOURCE
IT;IDENTY
IX;INTRIX
JC;JANICH
JN;JUNG
KA;KAEHLIG
KB;KEB
KR;KRUSE
KV;KAVLICO
L1;LTM
LL;HILLOS
LO;LOWO
LR;LIONS
LS;LYCONSYS
LV;LAVISION
LX;LINKX
M1;MEDITECH
M2;MUT
MC;MCTECHNO
MD;PINNACLE
MF;MFZ
MH;MOEHLENH
MI;MIDITEC
MK;MKN
MM;MINIMAX
MN;MECHATRO
MR;MOTORTEC
MS;MESSER
MT;METRONIX
MW;SMS
MX;MTS
MY;BASLER
N2;NOVOFERM
NC;N1CCO
NE;NEDO
NF;NOFFZ
NX;NOVEXX
PD;PRODES
PK;KREMSER
PL;PL-PRO
PO;POE
PS;PANACU
PT;PLASMA
QT;BRUKER2
R1;RITTER
RA;RATIO
RD;THALES
RI;REHM
RO;R&S-SI
RP;IMAGO
RT;ROBOTEC
S4;SITECO
S5;SIGMA
S6;SCHWANZ
S7;SSV
S9;SYSTEC
SA;SECA
SB;SWISSBIT
SG;SAFRAN
SJ;SCHUHMAN
SL;INNOLECT
SM;SMAVOO
SO;SCGM
SP;SCHNEIDE
SQ;STOLLMAN
SR;SKANRAY
ST;SENSOTEC
SZ;TRAPEZE
T1;TRANSTEL
T2;TIBACON
T5;TEC5
TA;TASKIT
TC;TOPCON
TK;TRACK
TS;TSK
TW;TEWS
UM;UPMS
VC;VISCOM
VF;VW
VI;VICOTEE
VS;VISIO
VV;VSE
VW;VOLKSWAG
W1;WSTECH
WA;WAS
WD;WACHENDO
WG;WAGO
WH;WHO
WS;WSN
YA;STEINBER
ZR;UHLMANN
